id|name|created_at|updated_at
2|юриспруденция|2017-03-15 11:52:09.401569+03|2017-03-15 11:52:09.401569+03
1|экономика|2017-03-07 09:57:34.180722+03|2017-03-07 09:57:34.180722+03
3|Психология|2017-03-15 11:52:09.401569+03|2017-03-15 11:52:09.401569+03
4|информатика|2017-03-15 11:52:09.401569+03|2017-03-15 11:52:09.401569+03
5|филология|2017-03-15 11:52:09.401569+03|2017-03-15 11:52:09.401569+03
6|менеджмент|2017-03-15 11:52:09.401569+03|2017-03-15 11:52:09.401569+03
7|42.04.01: Реклама и связи с общественностью|2017-03-15 11:52:09.401569+03|2017-03-15 11:52:09.401569+03
8|07.03.01 Архитектура|2017-03-15 11:52:09.401569+03|2017-03-15 11:52:09.401569+03
