id|program_id|year|competition|budget_places|commercial_places|cost|discount|ege_pass_score|created_at  |updated_at
1|12|2016|12.2|80|35|260000|t|239|2017-03-15 13:04:40.080844+03|2017-03-15 13:04:40.080844+03
2|13|2016|12.2|195|110|420000|t|368|2017-03-15 13:04:40.080844+03|2017-03-15 13:04:40.080844+03
3|14|2016|2.25|60|30|275000|t|247|2017-03-15 13:04:40.080844+03|2017-03-15 13:04:40.080844+03
4|15|2016|0|13|18|94000|f|239|2017-03-15 13:04:40.080844+03|2017-03-15 13:04:40.080844+03
5|16|2016|15.6|10|2|296000|f|267|2017-03-15 13:04:40.080844+04|2017-03-15 13:04:40.080844+04
6|18|2016|54|15|50|315000|f|277|2017-03-15 13:04:40.080844+05|2017-03-15 13:04:40.080844+05
7|19|2016|21.63|4|8|135000|f|289|2017-03-15 13:04:40.080844+06|2017-03-15 13:04:40.080844+06
